Current Offset,Sample Number,Title,Trigger Offset,Time End,Time Start,U Sec,Time Of Threshold
14073,16384,wf_1643,15271,1662555485.029872,1662555485.0297408,29740,1096
9447,16384,wf_1644,10645,1662555485.033776,1662555485.033645,33645,600
15942,16384,wf_1645,756,1662555485.0475001,1662555485.047369,47369,784
11297,16384,wf_1646,12495,1662555485.0522285,1662555485.0520973,52097,1184
11285,16384,wf_1647,12483,1662555485.058364,1662555485.0582328,58232,1056
106,16384,wf_1648,1304,1662555485.0642502,1662555485.064119,64119,744
11200,16384,wf_1649,12398,1662555485.081278,1662555485.081147,81146,824
2599,16384,wf_1650,3797,1662555485.0848818,1662555485.0847507,84750,2768
2719,16384,wf_1651,3917,1662555485.093874,1662555485.0937428,93742,776
11464,16384,wf_1652,12662,1662555485.112119,1662555485.1119878,111987,480
265,16384,wf_1653,1463,1662555485.1503847,1662555485.1502535,150253,512
1484,16384,wf_1654,2682,1662555485.16497,1662555485.1648388,164838,656
10988,16384,wf_1655,12186,1662555485.1825755,1662555485.1824443,182444,824
2496,16384,wf_1656,3694,1662555485.2009723,1662555485.2008412,200841,624
5253,16384,wf_1657,6451,1662555485.210756,1662555485.210625,210624,528
13422,16384,wf_1658,14620,1662555485.2317183,1662555485.2315872,231587,616
13875,16384,wf_1659,15073,1662555485.2399132,1662555485.239782,239782,536
10180,16384,wf_1660,11378,1662555485.2453227,1662555485.2451916,245191,816
11819,16384,wf_1661,13017,1662555485.2487261,1662555485.248595,248594,664
11819,16384,wf_1661,13017,1662555485.2487261,1662555485.248595,248594,664
3311,16384,wf_1662,4509,1662555485.252362,1662555485.252231,252230,608
16063,16384,wf_1663,877,1662555485.261178,1662555485.261047,261046,696
14535,16384,wf_1664,15733,1662555485.269631,1662555485.2694998,269499,656
8429,16384,wf_1665,9627,1662555485.298364,1662555485.2982328,298232,416
9097,16384,wf_1666,10295,1662555485.30291,1662555485.302779,302779,512
10136,16384,wf_1667,11334,1662555485.3084896,1662555485.3083584,308358,736
9529,16384,wf_1668,10727,1662555485.3152406,1662555485.3151095,315109,480
474,16384,wf_1669,1672,1662555485.3262274,1662555485.3260963,326096,488
658,16384,wf_1670,1856,1662555485.3338683,1662555485.3337371,333737,600
7207,16384,wf_1671,8405,1662555485.3434548,1662555485.3433237,343323,448
7108,16384,wf_1672,8306,1662555485.3478417,1662555485.3477106,347710,688
77,16384,wf_1673,1275,1662555485.3914618,1662555485.3913307,391330,512
8401,16384,wf_1674,9599,1662555485.4098547,1662555485.4097235,409723,800
15189,16384,wf_1675,3,1662555485.4131732,1662555485.413042,413042,704
3947,16384,wf_1676,5145,1662555485.4277377,1662555485.4276066,427606,536
7873,16384,wf_1677,9071,1662555485.4364545,1662555485.4363234,436323,456
2938,16384,wf_1678,4136,1662555485.442995,1662555485.442864,442864,568
2158,16384,wf_1679,3356,1662555485.451377,1662555485.4512458,451245,1360
14690,16384,wf_1680,15888,1662555485.4548452,1662555485.454714,454713,512
2173,16384,wf_1681,3371,1662555485.474135,1662555485.4740038,474003,936
9558,16384,wf_1682,10756,1662555485.4792578,1662555485.4791267,479126,648
14109,16384,wf_1683,15307,1662555485.497128,1662555485.4969969,496996,888
8288,16384,wf_1684,9486,1662555485.5019915,1662555485.5018604,501860,656
2702,16384,wf_1685,3900,1662555485.5060408,1662555485.5059097,505909,744
2112,16384,wf_1686,3310,1662555485.5128994,1662555485.5127683,512768,408
8387,16384,wf_1687,9585,1662555485.5277317,1662555485.5276005,527600,584
2937,16384,wf_1688,4135,1662555485.5465214,1662555485.5463903,546390,616
9231,16384,wf_1689,10429,1662555485.5541406,1662555485.5540094,554009,1152
12934,16384,wf_1690,14132,1662555485.5649514,1662555485.5648203,564820,600
8928,16384,wf_1691,10126,1662555485.573505,1662555485.5733738,573373,696
15432,16384,wf_1692,246,1662555485.5775895,1662555485.5774584,577458,504
10790,16384,wf_1693,11988,1662555485.5833814,1662555485.5832503,583250,600
3104,16384,wf_1694,4302,1662555485.5899487,1662555485.5898175,589817,448
