Max,Time,Integral,Time Of Threshold,INTNS
[81.30875351],1662555521.1378627,[7138.20046392],728,[7138.20046392]
[49.81076792],1662555521.144391,[5348.5532902],496,[5348.5532902]
[159.93163228],1662555521.152614,[11955.43889635],1016,[11955.43889635]
[42.36356977],1662555521.196709,[5135.14833354],456,[5135.14833354]
[39.4335246],1662555521.2121978,[4929.67891588],472,[4929.67891588]
[57.38005128],1662555521.2441308,[6044.56110365],568,[6044.56110365]
[323.89207667],1662555521.2823756,[21878.28104017],1440,[21878.28104017]
[48.95617141],1662555521.28734,[5698.93785863],544,[5698.93785863]
[55.54877304],1662555521.3095345,[6117.44597729],576,[6117.44597729]
[82.89586131],1662555521.3279,[7867.41545599],776,[7867.41545599]
[80.33207179],1662555521.3372357,[7378.34208277],816,[7378.34208277]
[77.52411183],1662555521.3566146,[7137.2237822],736,[7137.2237822]
[56.28128434],1662555521.364826,[6092.66267855],584,[6092.66267855]
[56.28128434],1662555521.364826,[6092.66267855],584,[6092.66267855]
[45.41570016],1662555521.3693187,[5205.95775852],464,[5205.95775852]
[121.59687462],1662555521.3998904,[9566.10914418],904,[9566.10914418]
[122.45147113],1662555521.4127345,[9735.56342327],936,[9735.56342327]
[89.61054816],1662555521.4676056,[7964.10694665],824,[7964.10694665]
[120.74227811],1662555521.4819045,[9635.81980222],776,[9635.81980222]
[87.29092907],1662555521.4877028,[7876.08350629],760,[7876.08350629]
[87.29092907],1662555521.4877028,[7876.08350629],760,[7876.08350629]
[74.83823709],1662555521.4915493,[7116.713466],768,[7116.713466]
[69.46648761],1662555521.497885,[6869.00256379],632,[6869.00256379]
[46.14821145],1662555521.504875,[5524.72225613],560,[5524.72225613]
[152.72860457],1662555521.5082145,[10924.42925162],944,[10924.42925162]
[47.36906361],1662555521.5151997,[5803.19863265],600,[5803.19863265]
[77.52411183],1662555521.524075,[7518.86216579],760,[7518.86216579]
[60.18801123],1662555521.5299466,[6350.62873886],608,[6350.62873886]
[89.00012209],1662555521.5341947,[7534.00073251],672,[7534.00073251]
[45.78195581],1662555521.5529575,[5056.64753998],440,[5056.64753998]
[40.89854719],1662555521.557821,[5085.45965084],504,[5085.45965084]
[150.89732633],1662555521.5616062,[11003.54047125],928,[11003.54047125]
[75.44866317],1662555521.5757065,[6836.28372604],624,[6836.28372604]
[46.75863753],1662555521.5894418,[5408.61921621],488,[5408.61921621]
[85.21548041],1662555521.5963485,[7769.38102796],792,[7769.38102796]
[39.67769503],1662555521.622641,[5134.29373703],488,[5134.29373703]
[53.96166524],1662555521.6365457,[5767.18349408],568,[5767.18349408]
[153.70528629],1662555521.6416316,[11247.83298742],992,[11247.83298742]
[135.39250397],1662555521.6546783,[10479.67281162],1000,[10479.67281162]
[90.7093151],1662555521.6811633,[8311.07312904],848,[8311.07312904]
[44.80527408],1662555521.6891787,[5441.94848004],496,[5441.94848004]
[43.82859236],1662555521.698043,[5431.20498108],536,[5431.20498108]
[212.06201929],1662555521.7036278,[14975.33878647],1072,[14975.33878647]
[236.84531803],1662555521.7237318,[16351.84959101],1304,[16351.84959101]
[97.7902576],1662555521.7345521,[8463.67964839],792,[8463.67964839]
[277.25552436],1662555521.7417457,[18757.53876206],1296,[18757.53876206]
[262.11695764],1662555521.7555137,[18469.05139787],1368,[18469.05139787]
[45.17152973],1662555521.7624094,[5489.68379929],528,[5489.68379929]
[54.69417654],1662555521.7816606,[5861.18911],568,[5861.18911]
[42.6077402],1662555521.7849033,[5086.31424734],456,[5086.31424734]
[53.10706873],1662555521.7894287,[6193.01672567],712,[6193.01672567]
[93.15101941],1662555521.7982852,[8150.04272983],824,[8150.04272983]
[39.31143938],1662555521.8079507,[5099.25528019],464,[5099.25528019]
[45.53778537],1662555521.8263113,[5371.26114028],520,[5371.26114028]
[59.57758515],1662555521.8295975,[6298.49835185],648,[6298.49835185]
[64.46099377],1662555521.8352444,[6520.57135881],688,[6520.57135881]
[83.14003174],1662555521.8736274,[7446.46563301],672,[7446.46563301]
[60.31009645],1662555521.8816655,[6071.17568062],568,[6071.17568062]
[75.32657795],1662555521.8899486,[7527.04187523],792,[7527.04187523]
[52.8628983],1662555521.9185193,[5726.77328775],536,[5726.77328775]
[55.54877304],1662555521.9226165,[5898.79135637],528,[5898.79135637]
[46.75863753],1662555521.9478412,[5320.2295202],456,[5320.2295202]
[75.57074838],1662555521.9729874,[7303.50384568],728,[7303.50384568]
[215.72457575],1662555521.9842277,[15245.87962398],1200,[15245.87962398]
[1000.12208522],1662555521.9907916,[94818.58136979],3416,[94818.58136979]
[44.9273593],1662555522.002119,[5634.47686485],560,[5634.47686485]
[47.85740447],1662555522.0237598,[5620.07080942],568,[5620.07080942]
[52.13038701],1662555522.0412867,[5522.03638139],488,[5522.03638139]
[41.63105848],1662555522.0727286,[5048.83408619],432,[5048.83408619]
[237.57782932],1662555522.0809765,[15504.82236601],1208,[15504.82236601]
[80.69832743],1662555522.0969784,[7493.83469662],696,[7493.83469662]
[57.50213649],1662555522.1005385,[6332.68221218],648,[6332.68221218]
[42.48565499],1662555522.120216,[5643.63325601],552,[5643.63325601]
[96.93566109],1662555522.1292517,[8470.0280796],880,[8470.0280796]
[71.29776584],1662555522.1461146,[7389.32975217],824,[7389.32975217]
[118.42265902],1662555522.1552098,[9261.75070199],880,[9261.75070199]
[66.41435722],1662555522.1588888,[6623.73336589],704,[6623.73336589]
[48.83408619],1662555522.1634176,[5583.81150043],512,[5583.81150043]
[57.62422171],1662555522.1732864,[6096.93566109],608,[6096.93566109]
[238.1882554],1662555522.1918676,[16142.96178733],1168,[16142.96178733]
[61.65303382],1662555522.2030814,[5926.38261507],552,[5926.38261507]
[41.63105848],1662555522.2113712,[5307.89891344],536,[5307.89891344]
[72.76278843],1662555522.2266505,[6896.10548163],696,[6896.10548163]
[271.63960444],1662555522.240479,[18199.73141253],1288,[18199.73141253]
[392.87022342],1662555522.2510507,[25675.98583811],1432,[25675.98583811]
[89.36637773],1662555522.2579267,[7890.85581736],824,[7890.85581736]
[187.52289098],1662555522.2667747,[13435.23379319],1056,[13435.23379319]
[203.63813942],1662555522.2822108,[14398.97448419],1112,[14398.97448419]
[68.48980588],1662555522.299249,[6934.07398364],688,[6934.07398364]
[54.69417654],1662555522.3110006,[5530.58234648],480,[5530.58234648]
[91.68599683],1662555522.3167078,[7933.34147235],784,[7933.34147235]
[40.53229154],1662555522.3200033,[4975.46087169],456,[4975.46087169]
[52.25247223],1662555522.3302672,[5851.42229276],600,[5851.42229276]
[48.95617141],1662555522.348578,[5323.03748016],472,[5323.03748016]
[126.72445367],1662555522.3587108,[9817.60468807],912,[9817.60468807]
[83.75045782],1662555522.362907,[7473.32438042],688,[7473.32438042]
[57.13588084],1662555522.3709087,[5903.55267977],640,[5903.55267977]
[62.62971554],1662555522.375646,[6347.69869369],688,[6347.69869369]
[92.54059333],1662555522.3922334,[8396.16652423],752,[8396.16652423]
[52.74081309],1662555522.3959315,[5816.2617507],520,[5816.2617507]
[55.1825174],1662555522.401424,[5990.96569405],616,[5990.96569405]
[77.03577097],1662555522.406764,[6916.73788304],680,[6916.73788304]
[77.03577097],1662555522.406764,[6916.73788304],680,[6916.73788304]
[73.98364058],1662555522.4129374,[6679.16005372],568,[6679.16005372]
[51.15370529],1662555522.4497855,[6002.31961909],640,[6002.31961909]
[42.97399585],1662555522.458548,[5364.18019778],560,[5364.18019778]
[43.21816628],1662555522.4720922,[5406.05542669],520,[5406.05542669]
[55.67085826],1662555522.4763322,[5821.63350018],544,[5821.63350018]
[104.50494445],1662555522.4804046,[8943.10828959],872,[8943.10828959]
[45.41570016],1662555522.4870236,[5484.06787938],528,[5484.06787938]
[74.83823709],1662555522.4941328,[6830.4236357],680,[6830.4236357]
[56.64753998],1662555522.508538,[6154.68196801],624,[6154.68196801]
[61.5309486],1662555522.5765676,[6373.33658894],656,[6373.33658894]
[129.41032841],1662555522.600533,[9754.7308021],920,[9754.7308021]
[55.30460261],1662555522.6051927,[5759.85838115],568,[5759.85838115]
[121.4747894],1662555522.6137142,[9853.25357099],936,[9853.25357099]
[53.71749481],1662555522.6594915,[5544.01172018],480,[5544.01172018]
[178.12232939],1662555522.6744552,[12972.4087413],1104,[12972.4087413]
[51.64204615],1662555522.6789389,[5644.24368209],504,[5644.24368209]
[54.93834697],1662555522.6871743,[6074.47198144],608,[6074.47198144]
[76.18117446],1662555522.70447,[7160.29788793],656,[7160.29788793]
[272.49420095],1662555522.7110524,[17659.38224881],1160,[17659.38224881]
[58.60090343],1662555522.715256,[6060.31009645],592,[6060.31009645]
[71.66402149],1662555522.7335944,[6916.49371261],672,[6916.49371261]
[80.94249786],1662555522.7402136,[7059.82175559],656,[7059.82175559]
[48.34574533],1662555522.7475588,[5362.59308998],480,[5362.59308998]
[159.56537663],1662555522.7581732,[12216.33500183],1072,[12216.33500183]
[58.60090343],1662555522.766662,[6091.19765596],584,[6091.19765596]
[67.63520938],1662555522.7785177,[6642.41240386],656,[6642.41240386]
[61.65303382],1662555522.7847445,[6673.66621902],696,[6673.66621902]
[79.59956049],1662555522.7950616,[7581.00354047],792,[7581.00354047]
[53.47332438],1662555522.803095,[6064.94933464],624,[6064.94933464]
[45.65987059],1662555522.8093405,[5468.19680137],536,[5468.19680137]
[191.55170309],1662555522.816703,[12995.84910267],1016,[12995.84910267]
[62.99597119],1662555522.8255908,[6705.65254548],704,[6705.65254548]
[140.3979978],1662555522.8458953,[10180.80820413],912,[10180.80820413]
[42.6077402],1662555522.851824,[5219.38713222],504,[5219.38713222]
[46.14821145],1662555522.8693666,[5246.49005005],496,[5246.49005005]
[44.07276279],1662555522.8911946,[5049.44451227],448,[5049.44451227]
[44.07276279],1662555522.8911946,[5049.44451227],448,[5049.44451227]
[215.23623489],1662555522.8951163,[15069.71065804],1176,[15069.71065804]
[100.35404712],1662555522.9029245,[8573.3121719],736,[8573.3121719]
[165.79172262],1662555522.9071443,[12090.34305945],1040,[12090.34305945]
[68.24563545],1662555522.9123564,[6705.16420461],640,[6705.16420461]
[42.72982542],1662555522.917653,[4823.58686363],408,[4823.58686363]
[68.85606153],1662555522.9397144,[6677.93920156],688,[6677.93920156]
[51.39787572],1662555522.9588544,[5708.09424979],544,[5708.09424979]
[88.26761079],1662555522.9817162,[7566.10914418],728,[7566.10914418]
[83.14003174],1662555523.020548,[7210.35282627],688,[7210.35282627]
[52.00830179],1662555523.0260372,[5681.23550238],528,[5681.23550238]
[72.76278843],1662555523.032322,[6972.28665609],672,[6972.28665609]
[133.92748138],1662555523.041126,[10637.28482481],952,[10637.28482481]
[43.21816628],1662555523.0543458,[5364.05811256],504,[5364.05811256]
[54.81626175],1662555523.0672543,[6075.08240752],584,[6075.08240752]
[134.65999267],1662555523.0725513,[11041.26480283],1016,[11041.26480283]
[158.83286534],1662555523.077227,[11871.68843853],976,[11871.68843853]
[223.90428519],1662555523.0920565,[15353.80295446],1224,[15353.80295446]
[60.92052252],1662555523.1361127,[6249.66426566],632,[6249.66426566]
[119.27725552],1662555523.1420228,[9304.84678305],904,[9304.84678305]
[52.37455744],1662555523.165488,[5875.10682456],544,[5875.10682456]
[39.67769503],1662555523.2027159,[5196.06885606],472,[5196.06885606]
[48.22366011],1662555523.2120812,[5958.9793676],624,[5958.9793676]
[96.81357588],1662555523.216227,[8012.81894763],728,[8012.81894763]
[42.72982542],1662555523.2224677,[5118.91099988],464,[5118.91099988]
[40.16603589],1662555523.236325,[5021.85325357],440,[5021.85325357]
[72.76278843],1662555523.2434165,[6859.47991698],664,[6859.47991698]
[47.00280796],1662555523.248891,[5641.924063],560,[5641.924063]
[47.85740447],1662555523.264229,[5820.04639238],600,[5820.04639238]
[50.66536442],1662555523.282951,[5662.80063484],552,[5662.80063484]
[44.80527408],1662555523.2920365,[5526.0651935],520,[5526.0651935]
[47.12489318],1662555523.2967823,[5360.02930045],512,[5360.02930045]
[46.75863753],1662555523.3186548,[5555.12147479],552,[5555.12147479]
[38.09058723],1662555523.32521,[4726.04077646],416,[4726.04077646]
[56.15919912],1662555523.33801,[6279.9413991],640,[6279.9413991]
[45.65987059],1662555523.3800318,[5679.77047979],552,[5679.77047979]
[83.99462825],1662555523.390832,[7288.73153461],720,[7288.73153461]
[128.18947625],1662555523.4029224,[10192.16212917],920,[10192.16212917]
[44.31693322],1662555523.4078815,[5299.84128922],512,[5299.84128922]
[75.93700403],1662555523.418434,[6939.81198877],672,[6939.81198877]
[65.55976071],1662555523.4228518,[6691.97900134],672,[6691.97900134]
[77.15785618],1662555523.4314275,[7579.53851789],776,[7579.53851789]
[72.15236235],1662555523.4381678,[6744.59772921],680,[6744.59772921]
[65.92601636],1662555523.4525034,[6248.80966915],552,[6248.80966915]
[75.32657795],1662555523.4756567,[6465.14467098],584,[6465.14467098]
[197.167623],1662555523.4833868,[14014.40605543],1080,[14014.40605543]
[72.03027713],1662555523.4957922,[6657.79514101],616,[6657.79514101]
[67.0247833],1662555523.5094256,[6894.27420339],752,[6894.27420339]
[59.57758515],1662555523.5151238,[5947.50335734],536,[5947.50335734]
[78.25662312],1662555523.5187569,[7271.88377487],680,[7271.88377487]
[81.18666829],1662555523.5343282,[7501.28189476],752,[7501.28189476]
[52.00830179],1662555523.5635867,[5938.95739226],624,[5938.95739226]
[63.36222683],1662555523.58445,[6347.94286412],672,[6347.94286412]
[68.97814675],1662555523.5923154,[6734.58674155],704,[6734.58674155]
[56.7696252],1662555523.5956364,[6266.63411061],680,[6266.63411061]
[44.56110365],1662555523.6102204,[5437.18715664],512,[5437.18715664]
[110.12086436],1662555523.6266403,[9537.90745941],896,[9537.90745941]
[89.73263338],1662555523.6301243,[7970.94371872],800,[7970.94371872]
[78.98913442],1662555523.641212,[7106.94664876],736,[7106.94664876]
[78.25662312],1662555523.6510193,[7212.1841045],680,[7212.1841045]
[49.20034184],1662555523.6552029,[5616.89659382],568,[5616.89659382]
[83.01794653],1662555523.6592243,[7836.89415212],840,[7836.89415212]
[62.99597119],1662555523.6636047,[6298.74252228],624,[6298.74252228]
[166.52423392],1662555523.6782196,[11803.32071786],1008,[11803.32071786]
[141.25259431],1662555523.6815095,[10460.74960322],944,[10460.74960322]
[47.36906361],1662555523.701561,[5661.82395312],552,[5661.82395312]
[150.53107069],1662555523.7461565,[11255.28018557],904,[11255.28018557]
[174.45977292],1662555523.7757301,[12324.01416188],984,[12324.01416188]
[65.68184593],1662555523.7817993,[6668.53863997],656,[6668.53863997]
[45.04944451],1662555523.7864628,[5444.0239287],544,[5444.0239287]
[58.47881822],1662555523.8125246,[6380.53961665],688,[6380.53961665]
[56.40336955],1662555523.8227856,[6105.72579661],624,[6105.72579661]
[192.04004395],1662555523.827737,[13936.51568795],1080,[13936.51568795]
[48.83408619],1662555523.8337853,[5681.84592846],552,[5681.84592846]
[82.65169088],1662555523.8482268,[7562.81284336],744,[7562.81284336]
[188.01123184],1662555523.8625908,[13129.41032841],1064,[13129.41032841]
[40.16603589],1662555523.8685143,[5066.53644244],464,[5066.53644244]
[61.77511903],1662555523.8784075,[6628.25051886],696,[6628.25051886]
[145.40349164],1662555523.88305,[11074.47198144],1040,[11074.47198144]
[50.17702356],1662555523.8880172,[5732.99963374],560,[5732.99963374]
[150.28690026],1662555523.8926318,[11060.79843731],1016,[11060.79843731]
[101.20864363],1662555523.9017982,[8797.46062752],864,[8797.46062752]
[42.72982542],1662555523.9114432,[5403.49163716],504,[5403.49163716]
[59.45549994],1662555523.914878,[6319.13075327],656,[6319.13075327]
[85.9479917],1662555523.9270365,[7823.83103406],792,[7823.83103406]
[167.86717129],1662555523.941411,[11685.02014406],1072,[11685.02014406]
[49.93285313],1662555523.9701588,[5336.34476865],472,[5336.34476865]
[48.58991576],1662555523.9795332,[5596.26419241],520,[5596.26419241]
[58.72298865],1662555524.0033627,[6446.22146258],656,[6446.22146258]
[246.12379441],1662555524.0085847,[16497.37516787],1248,[16497.37516787]
[135.27041875],1662555524.0136547,[10023.44036137],840,[10023.44036137]
[50.66536442],1662555524.01859,[5683.55512147],576,[5683.55512147]
[59.57758515],1662555524.0274355,[6210.96325235],584,[6210.96325235]
[89.61054816],1662555524.056249,[7888.41411305],680,[7888.41411305]
[47.36906361],1662555524.0611627,[6065.07141985],680,[6065.07141985]
[74.1057258],1662555524.0656428,[6780.97912343],600,[6780.97912343]
[73.86155537],1662555524.076404,[7180.44194848],752,[7180.44194848]
[41.87522891],1662555524.0940924,[5193.38298132],480,[5193.38298132]
[57.74630692],1662555524.1026697,[6089.97680381],616,[6089.97680381]
[89.00012209],1662555524.1152246,[7792.94347454],736,[7792.94347454]
[71.54193627],1662555524.1336215,[6799.04773532],648,[6799.04773532]
[175.070199],1662555524.1479063,[12420.94982298],1048,[12420.94982298]
[85.33756562],1662555524.1628203,[7957.3922598],784,[7957.3922598]
[126.35819802],1662555524.1705008,[10188.37748749],1032,[10188.37748749]
[54.93834697],1662555524.176902,[5721.40153827],504,[5721.40153827]
[174.09351728],1662555524.180249,[12814.55255768],1032,[12814.55255768]
[45.04944451],1662555524.186827,[5477.1090221],528,[5477.1090221]
[49.20034184],1662555524.1979747,[5838.48125992],624,[5838.48125992]
[58.47881822],1662555524.2031848,[6444.14601392],648,[6444.14601392]
[59.82175559],1662555524.231495,[6097.17983152],568,[6097.17983152]
[127.21279453],1662555524.2401485,[10248.93175436],976,[10248.93175436]
[56.52545477],1662555524.2491713,[6036.99182029],528,[6036.99182029]
[60.67635209],1662555524.2794597,[6176.41313637],664,[6176.41313637]
[65.4376755],1662555524.2842686,[6568.55084849],688,[6568.55084849]
[40.65437675],1662555524.2918444,[5092.2964229],480,[5092.2964229]
[111.09754609],1662555524.3023064,[9012.08643633],872,[9012.08643633]
[80.82041265],1662555524.307956,[7270.17458186],688,[7270.17458186]
[258.57648639],1662555524.3169022,[17402.14869979],1152,[17402.14869979]
[71.90819192],1662555524.320717,[7289.95238677],800,[7289.95238677]
[67.51312416],1662555524.3317368,[6588.20656818],608,[6588.20656818]
[141.86302039],1662555524.349842,[11215.72457575],1024,[11215.72457575]
[45.65987059],1662555524.3542864,[4945.5499939],416,[4945.5499939]
[276.40092785],1662555524.3755085,[17865.46209254],1160,[17865.46209254]
[54.57209132],1662555524.3910067,[5733.36588939],592,[5733.36588939]
[60.92052252],1662555524.3949993,[6334.26931999],624,[6334.26931999]
[54.20583567],1662555524.4070003,[5699.91454035],544,[5699.91454035]
[65.92601636],1662555524.415197,[6646.80747161],632,[6646.80747161]
[92.41850812],1662555524.4210632,[8099.01110975],840,[8099.01110975]
[146.86851422],1662555524.4272249,[11091.19765596],936,[11091.19765596]
[97.54608717],1662555524.4307766,[8188.25540227],808,[8188.25540227]
[83.75045782],1662555524.4429977,[7568.30667806],752,[7568.30667806]
[93.27310463],1662555524.4642324,[8153.33903064],824,[8153.33903064]
[93.8835307],1662555524.4696302,[8303.38176047],840,[8303.38176047]
[41.99731413],1662555524.4751325,[5342.93737028],528,[5342.93737028]
[185.81369796],1662555524.4911401,[13887.55951654],1088,[13887.55951654]
[63.97265291],1662555524.5002306,[6579.78268832],688,[6579.78268832]
[80.08790136],1662555524.5079682,[7835.55121475],816,[7835.55121475]
[345.86741546],1662555524.5246162,[22634.8431205],1296,[22634.8431205]
[47.73531925],1662555524.5408602,[5446.46563301],512,[5446.46563301]
[262.72738371],1662555524.5720549,[18530.82651691],1400,[18530.82651691]
[39.55560982],1662555524.5762756,[5031.98632646],480,[5031.98632646]
[48.83408619],1662555524.5890749,[5669.75949213],592,[5669.75949213]
[225.36930778],1662555524.5957336,[14957.02600415],1112,[14957.02600415]
[46.39238188],1662555524.6010394,[5692.10108656],600,[5692.10108656]
[47.36906361],1662555524.615108,[5508.85117812],528,[5508.85117812]
[89.00012209],1662555524.62049,[8362.34891955],864,[8362.34891955]
[267.61079233],1662555524.6419365,[18091.56391161],1224,[18091.56391161]
[56.40336955],1662555524.648032,[5935.2948358],568,[5935.2948358]
[45.04944451],1662555524.6691241,[5477.23110731],568,[5477.23110731]
[40.53229154],1662555524.6810763,[5216.0908314],496,[5216.0908314]
[64.58307899],1662555524.7046702,[6177.75607374],568,[6177.75607374]
[191.06336223],1662555524.709995,[13859.6020022],1112,[13859.6020022]
[42.97399585],1662555524.722298,[5336.58893908],480,[5336.58893908]
[74.1057258],1662555524.7280607,[6906.23855451],648,[6906.23855451]
[60.92052252],1662555524.7395382,[6390.79477475],680,[6390.79477475]
[62.38554511],1662555524.7448742,[6863.63081431],736,[6863.63081431]
[55.06043218],1662555524.7500057,[5924.67342205],592,[5924.67342205]
[138.32254914],1662555524.7714202,[10576.97472836],992,[10576.97472836]
[48.22366011],1662555524.7880166,[5623.8554511],568,[5623.8554511]
[74.83823709],1662555524.792631,[6967.6474179],688,[6967.6474179]
[71.7861067],1662555524.8198893,[6929.19057502],728,[6929.19057502]
[43.3402515],1662555524.8253496,[5230.61897204],504,[5230.61897204]
[82.89586131],1662555524.8296094,[7627.02966671],776,[7627.02966671]
[58.23464778],1662555524.87099,[6162.73959224],592,[6162.73959224]
[116.95763643],1662555524.8858848,[9581.98022219],912,[9581.98022219]
[48.34574533],1662555524.9146492,[5304.23635698],504,[5304.23635698]
[76.54743011],1662555524.9272232,[6893.90794775],640,[6893.90794775]
[40.65437675],1662555524.969787,[4966.42656574],416,[4966.42656574]
[55.1825174],1662555524.9855332,[5909.2906849],600,[5909.2906849]
[46.02612624],1662555524.996371,[5463.80173361],472,[5463.80173361]
[113.5392504],1662555525.0059013,[9561.22573556],936,[9561.22573556]
[63.36222683],1662555525.0142808,[6397.99780247],624,[6397.99780247]
[73.3732145],1662555525.023918,[6883.04236357],648,[6883.04236357]
[41.87522891],1662555525.0323694,[5312.78232206],528,[5312.78232206]
[217.80002442],1662555525.037403,[15458.1858137],1232,[15458.1858137]
[92.05225247],1662555525.092915,[8207.54486632],848,[8207.54486632]
[49.6886827],1662555525.106226,[5541.69210109],520,[5541.69210109]
[75.93700403],1662555525.1122332,[7463.19130753],808,[7463.19130753]
[42.48565499],1662555525.1171386,[5252.71639604],472,[5252.71639604]
[42.97399585],1662555525.1215646,[5349.77414235],528,[5349.77414235]
[49.93285313],1662555525.1611085,[5287.26651203],488,[5287.26651203]
[116.59138078],1662555525.1742535,[9426.32157246],864,[9426.32157246]
[94.00561592],1662555525.1834188,[7984.9835185],744,[7984.9835185]
[71.41985106],1662555525.1958141,[6648.76083506],616,[6648.76083506]
[191.30753266],1662555525.2272735,[13688.07227445],1096,[13688.07227445]
[44.07276279],1662555525.245951,[5368.57526554],504,[5368.57526554]
[57.99047735],1662555525.261514,[6278.23220608],624,[6278.23220608]
[65.68184593],1662555525.2803588,[6540.83750458],592,[6540.83750458]
[43.46233671],1662555525.285624,[5316.56696374],480,[5316.56696374]
[49.07825662],1662555525.3018985,[5615.55365645],528,[5615.55365645]
[61.40886339],1662555525.3074667,[6309.73019167],664,[6309.73019167]
[55.06043218],1662555525.3352938,[5974.11793432],552,[5974.11793432]
[1000.12208522],1662555525.3761663,[91645.9528751],3432,[91645.9528751]
[57.99047735],1662555525.3795807,[6139.05506043],616,[6139.05506043]
[75.44866317],1662555525.3874059,[6926.50470028],672,[6926.50470028]
[76.91368575],1662555525.3946762,[7508.24075204],760,[7508.24075204]
[73.98364058],1662555525.4143586,[7237.33365889],688,[7237.33365889]
[51.03162007],1662555525.421958,[5867.29337077],600,[5867.29337077]
[64.21682334],1662555525.433221,[6041.99731412],592,[6041.99731412]
[126.9686241],1662555525.441173,[10300.69588573],928,[10300.69588573]
[56.40336955],1662555525.4489448,[5734.58674155],480,[5734.58674155]
[57.38005128],1662555525.4705825,[5931.63227933],568,[5931.63227933]
[167.62300085],1662555525.474889,[12554.3889635],1096,[12554.3889635]
[48.95617141],1662555525.4915943,[5563.66743987],528,[5563.66743987]
[124.03857893],1662555525.5021665,[9999.63374435],968,[9999.63374435]
[41.14271762],1662555525.5065012,[5101.33072885],488,[5101.33072885]
[67.39103895],1662555525.5106673,[6500.42729825],592,[6500.42729825]
[67.87937981],1662555525.5365913,[6769.38102796],648,[6769.38102796]
[60.31009645],1662555525.5460448,[6297.88792577],648,[6297.88792577]
[283.1156147],1662555525.5556614,[18929.31266024],1256,[18929.31266024]
[94.86021243],1662555525.564319,[8396.41069466],864,[8396.41069466]
[75.20449274],1662555525.5699146,[7018.9232084],736,[7018.9232084]
[78.98913442],1662555525.5918276,[7406.54376755],720,[7406.54376755]
[76.66951532],1662555525.599096,[7647.53998291],808,[7647.53998291]
[102.42949579],1662555525.6152394,[8574.28885362],816,[8574.28885362]
[157.12367232],1662555525.621013,[11682.9446954],984,[11682.9446954]
[60.43218166],1662555525.627058,[6642.41240386],704,[6642.41240386]
[288.24319375],1662555525.6369884,[18596.26419241],1248,[18596.26419241]
[146.62434379],1662555525.640509,[10627.02966671],872,[10627.02966671]
[104.01660359],1662555525.6789832,[8865.46209254],840,[8865.46209254]
[56.28128434],1662555525.69254,[5952.63093639],608,[5952.63093639]
[62.75180076],1662555525.6973078,[6664.26565743],720,[6664.26565743]
[66.90269808],1662555525.7036598,[6397.5094616],584,[6397.5094616]
[121.35270419],1662555525.7121193,[10172.7505799],936,[10172.7505799]
[355.39006226],1662555525.7167592,[22913.44158222],1472,[22913.44158222]
[38.33475766],1662555525.7219412,[4836.16164083],424,[4836.16164083]
[43.09608106],1662555525.7349744,[5536.93077768],536,[5536.93077768]
[253.32682212],1662555525.747107,[17995.48284703],1368,[17995.48284703]
[59.57758515],1662555525.7558365,[6317.0553046],632,[6317.0553046]
[186.42412404],1662555525.7679083,[13186.66829447],1088,[13186.66829447]
[60.31009645],1662555525.7841334,[6393.84690514],664,[6393.84690514]
[52.13038701],1662555525.805818,[5525.45476743],424,[5525.45476743]
[80.33207179],1662555525.8348656,[7261.26236113],760,[7261.26236113]
[187.40080576],1662555525.851774,[13489.31754364],1096,[13489.31754364]
[55.06043218],1662555525.8686302,[5737.02844585],512,[5737.02844585]
[38.33475766],1662555525.8763921,[5199.24307166],520,[5199.24307166]
[91.31974118],1662555525.8882108,[8231.8398242],800,[8231.8398242]
[86.92467342],1662555525.8919756,[8375.16786717],856,[8375.16786717]
[47.24697839],1662555525.9015877,[5674.2766451],600,[5674.2766451]
[78.74496398],1662555525.9075859,[7495.66597485],800,[7495.66597485]
[42.85191063],1662555525.916474,[5283.35978513],488,[5283.35978513]
[105.96996704],1662555525.9227486,[9067.87937981],880,[9067.87937981]
[49.56659749],1662555525.9415536,[6000.36625565],640,[6000.36625565]
[77.52411183],1662555525.9613826,[7060.31009645],624,[7060.31009645]
[76.18117446],1662555525.9768538,[6957.51434501],632,[6957.51434501]
[103.16200708],1662555525.9848409,[9107.55707484],856,[9107.55707484]
[52.61872787],1662555526.0093615,[6005.37174948],648,[6005.37174948]
[49.93285313],1662555526.015518,[5809.42497863],576,[5809.42497863]
[44.07276279],1662555526.0245602,[5229.03186424],424,[5229.03186424]
[72.88487364],1662555526.0314627,[6930.04517153],728,[6930.04517153]
[48.46783055],1662555526.0364394,[5473.32438042],512,[5473.32438042]
[46.39238188],1662555526.0412507,[5072.518618],416,[5072.518618]
[233.426932],1662555526.0472152,[16019.77780491],1256,[16019.77780491]
[68.48980588],1662555526.0665495,[6956.53766329],704,[6956.53766329]
[38.70101331],1662555526.0870976,[4805.27408131],408,[4805.27408131]
[61.89720425],1662555526.0919394,[6179.09901111],592,[6179.09901111]
[57.13588084],1662555526.1310887,[6067.0247833],608,[6067.0247833]
[87.41301428],1662555526.1369588,[8018.80112318],832,[8018.80112318]
[51.51996093],1662555526.1535764,[5548.52887315],512,[5548.52887315]
[45.41570016],1662555526.181311,[5468.07471615],504,[5468.07471615]
[56.7696252],1662555526.1985455,[6310.34061775],608,[6310.34061775]
