Max,Time,Integral,Time Of Threshold,INTNS
[96.08106458],1662555466.568019,[7873.76388719],704,[7873.76388719]
[40.77646197],1662555466.5929956,[5035.28262727],440,[5035.28262727]
[82.16335002],1662555466.6168396,[7296.30081797],672,[7296.30081797]
[69.22231718],1662555466.6258028,[6602.36845318],600,[6602.36845318]
[83.99462825],1662555466.6606174,[7679.52630936],752,[7679.52630936]
[55.79294347],1662555466.6664145,[6196.43511171],648,[6196.43511171]
[49.6886827],1662555466.7149868,[5816.13966549],600,[5816.13966549]
[42.11939934],1662555466.7273972,[5088.26761079],456,[5088.26761079]
[193.87132218],1662555466.7309742,[13733.24380417],1168,[13733.24380417]
[92.05225247],1662555466.7427952,[7978.02466121],808,[7978.02466121]
[44.68318887],1662555466.7477486,[5310.58478818],464,[5310.58478818]
[68.24563545],1662555466.7568183,[6662.19020877],656,[6662.19020877]
[61.65303382],1662555466.7678337,[6598.21755585],704,[6598.21755585]
[98.52276889],1662555466.7892306,[8415.45598828],872,[8415.45598828]
[61.40886339],1662555466.8056715,[6431.69332194],632,[6431.69332194]
[128.43364669],1662555466.8170495,[10303.87010133],920,[10303.87010133]
[43.46233671],1662555466.8232784,[5387.37638872],520,[5387.37638872]
[61.5309486],1662555466.8271966,[6353.80295446],720,[6353.80295446]
[54.81626175],1662555466.830938,[5607.61811745],520,[5607.61811745]
[99.86570626],1662555466.847907,[8784.03125381],864,[8784.03125381]
[61.16469296],1662555466.8779442,[6052.98498352],568,[6052.98498352]
[131.85203272],1662555466.8968263,[10159.19912099],936,[10159.19912099]
[38.21267245],1662555466.9065292,[5014.65022586],448,[5014.65022586]
[41.0206324],1662555466.9127662,[5362.83726041],536,[5362.83726041]
[53.35123916],1662555466.934057,[5681.96801367],568,[5681.96801367]
[75.93700403],1662555466.9495652,[6827.61567574],664,[6827.61567574]
[89.97680381],1662555466.9572964,[8292.88243194],808,[8292.88243194]
[64.46099377],1662555466.9700928,[6498.35184959],656,[6498.35184959]
[93.8835307],1662555466.982737,[7975.09461604],872,[7975.09461604]
[52.13038701],1662555466.9913127,[5550.60432182],520,[5550.60432182]
[52.00830179],1662555467.0111837,[5654.13258454],600,[5654.13258454]
[74.47198144],1662555467.0146616,[7023.07410573],744,[7023.07410573]
[58.47881822],1662555467.0188234,[5968.01367354],552,[5968.01367354]
[38.70101331],1662555467.0307388,[4729.94750336],416,[4729.94750336]
[44.31693322],1662555467.0364668,[5428.64119155],504,[5428.64119155]
[54.32792089],1662555467.053709,[5691.24649005],528,[5691.24649005]
[47.73531925],1662555467.0582626,[5494.68929313],512,[5494.68929313]
[368.81943597],1662555467.063926,[23869.36881943],1472,[23869.36881943]
[55.1825174],1662555467.0679755,[6303.74801611],672,[6303.74801611]
[52.61872787],1662555467.0805423,[5913.80783787],584,[5913.80783787]
[46.5144671],1662555467.091023,[5301.18422659],472,[5301.18422659]
[327.92088878],1662555467.121933,[22197.65596386],1416,[22197.65596386]
[70.93151019],1662555467.130052,[7318.88658283],744,[7318.88658283]
[64.21682334],1662555467.1459546,[6709.19301673],712,[6709.19301673]
[46.39238188],1662555467.1628053,[5476.74276645],512,[5476.74276645]
[54.4500061],1662555467.175245,[6097.05774631],584,[6097.05774631]
[76.54743011],1662555467.1801345,[7108.28958613],656,[7108.28958613]
[118.17848859],1662555467.183673,[8925.65010377],896,[8925.65010377]
[64.58307899],1662555467.2014177,[6303.13759004],664,[6303.13759004]
[259.18691246],1662555467.206094,[17497.74142351],1280,[17497.74142351]
[43.58442193],1662555467.2183707,[5307.89891344],552,[5307.89891344]
[149.79855939],1662555467.228361,[11379.19667928],968,[11379.19667928]
[84.72713954],1662555467.2375667,[7549.50555488],736,[7549.50555488]
[70.68733976],1662555467.2535017,[6719.20400439],696,[6719.20400439]
[94.12770114],1662555467.2755291,[8281.65059211],848,[8281.65059211]
